Event Data
Swedish Open Skovde 2001
SWEDEN
Dates: 21 Nov - 25 Nov 2001

Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner
2001	Swedish Open Skovde 2001	ZOOGLING Mikael (SWE)		SAKAMOTO Ryusuke (JPN)		MS	Qualification		4 - 1	11:5 11:5 5:11 11:7 11:9	ZOOGLING Mikael	
2001	Swedish Open Skovde 2001	KUSINSKI Marcin (POL)		SAKAMOTO Ryusuke (JPN)		MS	Qualification		4 - 2	11:4 11:13 11:6 11:7 6:11 11:8	KUSINSKI Marcin	
2001	Swedish Open Skovde 2001	BRATANOV Martin (BEL)		PAVELKA Tomas (CZE)		MS	Qualification		2 - 4	7:11 11:7 11:9 7:11 8:11 9:11	PAVELKA Tomas	
2001	Swedish Open Skovde 2001	BRATANOV Martin (BEL)		SVENSSON Robert (SWE)		MS	Qualification		4 - 3	7:11 8:11 11:8 6:11 11:7 12:10 11:5	BRATANOV Martin	
2001	Swedish Open Skovde 2001	BRATANOV Martin (BEL)		ANSNES Eirik (NOR)		MS	Qualification		4 - 0	11:3 11:6 11:3 11:4	BRATANOV Martin	
2001	Swedish Open Skovde 2001	PAVELKA Tomas (CZE)		SVENSSON Robert (SWE)		MS	Qualification		4 - 3	6:11 11:6 7:11 11:3 11:4 10:12 11:4	PAVELKA Tomas	
2001	Swedish Open Skovde 2001	PAVELKA Tomas (CZE)		ANSNES Eirik (NOR)		MS	Qualification		3 - 4	9:11 11:7 11:9 4:11 9:11 11:6 9:11	ANSNES Eirik	
2001	Swedish Open Skovde 2001	SVENSSON Robert (SWE)		ANSNES Eirik (NOR)		MS	Qualification		4 - 3	13:15 11:9 11:5 11:8 2:11 9:11 11:7	SVENSSON Robert	
2001	Swedish Open Skovde 2001	NILSSON Stefan (SWE)		HIELSCHER Lars (GER)		MS	Qualification		4 - 0	14:12 11:6 11:9 11:4	NILSSON Stefan	
2001	Swedish Open Skovde 2001	NILSSON Stefan (SWE)		GORAK Daniel (POL)		MS	Qualification		4 - 0	11:6 11:7 11:6 11:9	NILSSON Stefan	
2001	Swedish Open Skovde 2001	NILSSON Stefan (SWE)		YEO Chansoo (KOR)		MS	Qualification		4 - 2	11:9 11:7 11:8 7:11 7:11 12:10	NILSSON Stefan	
